Title_URL,brand,Name_URL,Name,Description,shipsfree,product_in_stock,Discount,Price,Price1,primarybtn,Application,Brand,Category,Color,EmissionCode,GradeType,Material,MountingHardwareIncluded,ProductType,UPC,PartNumber,make,engine
PART# 85300,EDGE,https://www.holley.com/products/off-road/parts/85300,EDGE DIESEL EVOLUTION CS2 - 50 STATE,1994-2019 Chevrolet/GMC/Ford/Dodge/RAM Diesel Trucks - 50 State Legal,Free Shipping,In Stock,MSRP $562.95,$448.95,$114.00,ADD TO CART,,,,,,,,,,,,,
PART# 31500-3,EDGE,https://www.holley.com/products/off-road/parts/31500-3,EDGE JUICE W/ ATTITUDE CTS3,1998.5-2000 Dodge Ram 2500/3500 - 5.9L Cummins Diesel,Free Shipping,,"MSRP $1,462.95","$1,168.95",$294.00,,Yes,No,No,No,Yes,Yes,4,17,ABS,9.75,"
		Edge
		
	",,
PART# 32453,DIABLOSPORT,https://www.holley.com/products/off-road/parts/32453,DIABLOSPORT PULSAR,Fits 2019-2022 Ram 1500 5.7L Hemi,Free Shipping,In Stock,MSRP $843.95,$673.95,$170.00,ADD TO CART,,,,,,,,,,,,,
PART# 32456,DIABLOSPORT,https://www.holley.com/products/off-road/parts/32456,DIABLOSPORT PULSAR XT,"Fits 2019-2024 Ram 1500 5.7L Hemi, 2019-2024 Ram 1500 3.6L V6",Free Shipping,In Stock,MSRP $562.95,$448.95,$114.00,ADD TO CART,,,,,,,,,,,,,
PART# 22601-3,EDGE,https://www.holley.com/products/off-road/parts/22601-3,PULSAR V3 W/ EDGE INSIGHT CTS3,2020-2023 Chevrolet Silverado/GMC Sierra 2500/3500,Free Shipping,In Stock,"MSRP $1,574.95","$1,258.95",$316.00,ADD TO CART,Yes,No,No,No,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,No,7,,
PART# 98623,EDGE,https://www.holley.com/products/off-road/parts/98623,EDGE EAS STREET DIESEL KIT,Compatible w/ Edge CTS3 and CS2/CTS2,Free Shipping,,MSRP $449.95,$359.95,$90.00,,"
		Edge
		
	",Tuners and Programmers,6,Gas,3,11,Cables and Adapters,2.5,9,810065218681,98623,,
PART# 84030,EDGE,https://www.holley.com/products/off-road/parts/84030,EDGE INSIGHT - CS2,"Insight CS2 is a budget-friendly digital monitor offering real-time performance data, customizable gauges, and easy diagnostics. Track efficiency, spot issues fast, and optimize your ride with this affordable, high-value display.",Free Shipping,In Stock,MSRP $367.95,$294.25,$73.70,ADD TO CART,,,,,,,,,,,,,
PART# 84140,EDGE,https://www.holley.com/products/off-road/parts/84140,INSIGHT+ MONITOR AND CUSTOM TUNING DEVICE,"Insight+ is a premium display offering real-time monitoring and the ability to read and write custom tuning. It delivers exceptional control, performance, and diagnostic precision for drivers seeking custom calibration and advanced data.",Free Shipping,In Stock,MSRP $674.95,$538.95,$136.00,ADD TO CART,Yes,Yes,Yes,"
		Edge
		
	",Tuners and Programmers,Yes,Yes,Yes,Yes,7,Yes,,
PART# 21501-3,EDGE,https://www.holley.com/products/off-road/parts/21501-3,EDGE JUICE W/ ATTITUDE CTS3,2004.5-2005 LLY Duramax,Free Shipping,In Stock,"MSRP $1,462.95","$1,168.95",$294.00,ADD TO CART,Yes,No,No,No,Yes,Yes,4,17,ABS,9.75,"
		Edge
		
	",,
PART# 550-858,HOLLEY SNIPER EFI,https://www.holley.com/products/off-road/fuel_systems/parts/550-858,HOLLEY SNIPER EFI BBD FOR 1971-1986 JEEP CJ - SHINY,Supports Up To 350 HP - 3.5 in. Handheld Monitor - No Fuel System,Free Shipping,In Stock,"MSRP $1,518.95","$1,213.95",$305.00,ADD TO CART,No,No,"
		Holley Sniper EFI
		
	",No,Air and Fuel Delivery,No,Yes,No,Yes,No,No,,
